FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Electronics -> Computers -> Computer Software -> Games,14633734041,New,B2BMarketplace,0.150943396,0.317460317,0.338409475,0.373831776,40,$160 ,10%,8%,0.459770115,40,$160 
Electronics -> Video Games -> Games -> Microsoft,14633740165,New,B2BMarketplace,0.185507246,0.820512821,0.285097794,1.20754717,128,$128 ,3%,1%,1.292929293,128,$128 
Electronics -> Computers -> Computer Software -> Games,14633741827,New,B2BMarketplace,0.15625,0.267857143,0.246462802,0.737704918,90,$180 ,10%,3%,0.737704918,90,$180 
Electronics -> Video Games -> Games -> Microsoft,14633742527,New,B2BMarketplace,0.560784314,1.134920635,1.867488584,1.243478261,143,$329 ,3%,3%,1.324074074,143,$329 
Electronics -> Video Games -> Games -> Microsoft,14633742589,New,B2BMarketplace,0.168350168,0.396825397,0.684931507,0.434782609,50,$100 ,3%,3%,0.462962963,50,$100 
Electronics -> Video Games -> Games -> Microsoft,14633742664,New,B2BMarketplace,0.018181818,0.018181818,0.038461538,0.034482759,1,$5 ,7%,7%,0.043478261,1,$5 
Electronics -> Video Games -> Games -> Microsoft,14633742671,New,B2BMarketplace,0.952702703,2.238095238,3.668927336,2.452173913,282,$564 ,3%,3%,2.611111111,282,$564 
Electronics -> Video Games -> Games -> Nintendo,14633744552,New,B2BMarketplace,0.074074074,0.074074074,0.444444444,0.095238095,2,$40 ,53%,67%,0.2,2,$40 
Electronics -> Video Games -> Games -> Sony,14633744651,New,B2BMarketplace,0.009708738,0.009708738,0.25,0.01010101,1,$20 ,29%,29%,0.011363636,1,$20 
Electronics -> Video Games -> Games -> Sony,14633744781,New,B2BMarketplace,0.183673469,0.183673469,5.0625,0.214285714,9,$109 ,17%,30%,0.243243243,9,$109 
Electronics -> Video Games -> Games -> Microsoft,14633744828,New,B2BMarketplace,0.102040816,0.102040816,0.735294118,0.142857143,5,$56 ,16%,18%,0.096774194,3,$30 
Electronics -> Video Games -> Games -> Sony,14633744866,New,B2BMarketplace,0.673469388,0.6875,3.361111111,0.868421053,33,$694 ,29%,42%,0.864864865,32,$675 
Electronics -> Video Games -> Games -> Microsoft,14633744880,New,B2BMarketplace,0.029411765,0.047619048,0.076923077,0.047619048,1,$19 ,27%,39%,0.1,1,$19 
Electronics -> Video Games -> Games -> Microsoft,14633746334,New,B2BMarketplace,0.046875,0.047619048,0.5,0.056603774,3,$25 ,15%,12%,0.026315789,1,$7 
Electronics -> Video Games -> Games -> Sony,14633747201,New,B2BMarketplace,0.041666667,0.041666667,0.333333333,0.044776119,3,$15 ,7%,13%,0.045454545,3,$15 
Electronics -> Video Games -> Games -> Other,14633747317,New,B2BMarketplace,0.192307692,0.192307692,6.666666667,0.192307692,10,$150 ,25%,25%,0.2,10,$150 
Electronics -> Video Games -> Games -> Sony,14633747331,New,B2BMarketplace,0.511111111,0.547619048,5.601176471,0.676470588,69,"$1,316 ",27%,54%,0.642105263,61,"$1,130 "
Electronics -> Video Games -> Games -> Sony,14633747362,New,B2BMarketplace,0.047619048,0.047619048,0.052631579,0.5,1,$16 ,53%,53%,,,
Electronics -> Video Games -> Games -> Microsoft,14633747959,New,B2BMarketplace,0.011111111,0.011111111,0.043478261,0.014925373,1,$5 ,7%,10%,0.017241379,1,$5 
Electronics -> Video Games -> Games -> Sony,14633748451,New,B2BMarketplace,0.162162162,0.162162162,0.590163934,0.214285714,6,$214 ,40%,40%,0.08,2,$70 
Electronics -> Video Games -> Games -> Microsoft,14633748468,New,B2BMarketplace,0.083333333,0.083333333,0.1,0.5,1,$25 ,35%,28%,,,
Electronics -> Video Games -> Games -> Sony,14633748888,New,B2BMarketplace,0.104166667,0.104166667,0.757575758,0.142857143,5,$68 ,19%,20%,0.066666667,2,$20 
Electronics -> Video Games -> Games -> Microsoft,14633749199,New,B2BMarketplace,0.38,0.38,3.281818182,0.452380952,19,$185 ,13%,25%,0.405405405,15,$113 
Electronics -> Video Games -> Games -> Sony,14633749274,New,B2BMarketplace,0.02962963,0.031746032,0.108108108,0.040816327,4,$92 ,33%,66%,0.042105263,4,$92 
"Sports, Fitness & Outdoors -> Camping & Hiking",15286306708,New,B2BMarketplace,0.016666667,0.016666667,0.023529412,0.057142857,2,$14 ,18%,18%,0.0625,2,$14 
Home -> Kitchen & Dining,16017039629,New,B2BMarketplace,0.016949153,0.016949153,0.076923077,0.02173913,1,$12 ,24%,27%,0.022727273,1,$12 
"Sports, Fitness & Outdoors -> Camping & Hiking",16162193696,New,B2BMarketplace,0.072992701,0.079365079,0.153846154,0.138888889,10,$80 ,36%,36%,0.149253731,10,$80 
Health & Beauty -> First Aid & Home Treatment,20424010843,New,B2BMarketplace,0.006756757,0.007936508,0.015873016,0.011764706,1,$15 ,43%,60%,0.027777778,1,$15 
Home -> Kitchen & Dining,21241413633,New,B2BMarketplace,0.008403361,,0.1,0.009174312,1,$15 ,75%,75%,0.014285714,1,$15 
"Toys -> Vehicles, Trains & RC",21664834008,New,B2BMarketplace,0.391304348,0.391304348,0.6,1.125,9,$63 ,28%,28%,3,9,$63 
Home -> Appliances -> Small Appliances -> Coffee & Beverage Machines -> Drip Brewers / Perculators,22333435014,New,B2BMarketplace,0.006134969,,0.018518519,0.009174312,1,$9 ,50%,50%,0.014285714,1,$9 
Home -> Cleaning Supplies,23400350001,New,B2BMarketplace,2.676056338,2.676056338,5.277777778,5.428571429,190,$760 ,15%,23%,6.333333333,190,$760 
"Toys -> Vehicles, Trains & RC",23922119254,New,B2BMarketplace,0.230769231,0.476190476,0.365111562,0.714285714,60,"$1,460 ",41%,41%,0.75,60,"$1,460 "
Movies & TV Media -> DVD Discs,24543347996,New,B2BMarketplace,0.027522936,0.027522936,0.391304348,0.03,3,$27 ,41%,41%,0.03,3,$27 
Movies & TV Media -> DVD Discs,24543564775,New,B2BMarketplace,0.118811881,0.118811881,0.894409938,0.15,12,$177 ,26%,25%,0.075,6,$105 
Movies & TV Media -> DVD Discs,24543573708,New,B2BMarketplace,0.01980198,0.01980198,0.8,0.020408163,2,$26 ,20%,8%,0.021052632,2,$26 
Movies & TV Media -> DVD Discs,24543576211,New,B2BMarketplace,0.04950495,0.04950495,1.19047619,0.051020408,5,$75 ,27%,15%,0.052631579,5,$75 
Movies & TV Media -> DVD Discs,24543583028,New,B2BMarketplace,0.086538462,0.086538462,3,0.089108911,9,$167 ,33%,34%,0.09,9,$167 
Movies & TV Media -> DVD Discs,24543625124,New,B2BMarketplace,0.017391304,0.017391304,0.066666667,0.023529412,2,$12 ,80%,160%,0.025,2,$12 
Toys -> Ride On Toys -> Vehicles,25543014543,New Damaged Box,B2BMarketplace,0.016666667,0.016666667,1,0.016949153,1,$55 ,58%,56%,0.017241379,1,$55 
Toys -> Water Guns & Foam Blasters,28478154575,New,B2BMarketplace,0.743589744,0.920634921,4.15308642,1.171717172,116,"$1,276 ",25%,16%,1.348837209,116,"$1,276 "
"Sports, Fitness & Outdoors -> Hunting",29757990426,New,B2BMarketplace,0.054054054,0.054054054,0.222222222,0.071428571,2,$80 ,37%,36%,0.083333333,2,$80 
Electronics -> Wearable Technology -> Accessories -> Other,30506594109,New,B2BMarketplace,0.019230769,0.019607843,0.2,0.02173913,1,$20 ,27%,27%,0.026315789,1,$20 
