FullCategoryName,UPC,BundleTitle,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932289,Epson T802XL-BCS DURABrite Ultra Black High Capacity and Color Combo Pack Standard Capacity Cartridge Ink,BRAND NEW,B2BMarketplace,0.052631579,0.052631579,2,0.054054054,4,$160 ,32%,32%,0.074074074,4,$160 
Home -> Vacuums,11120249934,"Bissell 2690 Powerforce Compact Turbo Bagless Vacuum, Home Clean Best",BRAND NEW,B2BMarketplace,0.118644068,0.125,Infinity,0.125,7,$147 ,39%,39%,0.127272727,7,$147 
Home -> Vacuums,11120269413,BISSELL 3571 ReadyClean A3 Robotic Mop,BRAND NEW,B2BMarketplace,0.016393443,0.016393443,0.041666667,0.027027027,2,$300 ,25%,85%,0.032786885,2,$300 
Home -> Kitchen & Dining,11172100740,"Nordic Ware 3-Piece Nonstick Baking Sheet Pan Set, Gold - Textured Surface",BRAND NEW,B2BMarketplace,0.008695652,0.021621622,0.014234875,0.022346369,4,$40 ,50%,50%,0.022988506,4,$40 
Party & Occasions -> Decorations & Favors,11179899890,"Unique Industries 9in Helium Tank Kit for Birthday Party, Includes 50 Balloons & Ribbon",BRAND NEW,B2BMarketplace,0.007159905,0.026086957,0.00795756,0.085714286,3,$27 ,26%,26%,0.090909091,3,$27 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502596967,"Brother LC1033PKW Ink Cartridge ( Cyan,Magenta,Yellow , 3-Pack )",BRAND NEW,B2BMarketplace,0.090909091,0.090909091,0.157894737,0.214285714,3,$57 ,52%,46%,0.25,3,$57 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502630173,Brother LC713PKS Ink Cartridges 300 Page Yield 3-Pack Cyan Magenta Yellow,BRAND NEW,B2BMarketplace,0.1,0.1,0.89010989,0.121621622,9,$79 ,35%,33%,0.160714286,9,$79 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502660941,Brother LC3013BK High-Yield Black Printer Ink Cartridge,BRAND NEW,B2BMarketplace,0.048387097,0.048387097,0.467532468,0.055045872,6,$48 ,33%,33%,0.056603774,6,$48 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502660958,"Brother LC30133PKS Genuine High-yield Ink Cartridges, 3-Pack, Cyan/Magenta/Yellow",BRAND NEW,B2BMarketplace,0.02173913,0.022222222,0.2,0.025,1,$10 ,27%,26%,0.026315789,1,$10 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502665618,Brother LC404BKW Genuine LC404BK Black INKvestment Tank Printer Ink Cartridge,BRAND NEW,B2BMarketplace,0.012048193,0.012048193,0.111111111,0.013513514,1,$5 ,19%,19%,0.018518519,1,$5 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502665625,"Brother LC4043PKW Genuine 3-PackINKvestment Tank Printer Ink Cartridges - Cyan, Magenta & Yellow",BRAND NEW,B2BMarketplace,0.074074074,0.074074074,0.222222222,0.142857143,2,$30 ,36%,36%,0.083333333,1,$15 
Home -> Arts & Crafts,12502665755,Brother MZ53 Mechanical Sewing Machine with 53 Built-in Stitches,BRAND NEW,B2BMarketplace,0.008474576,0.008695652,0.016393443,0.017857143,1,$39 ,30%,27%,0.018181818,1,$39 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",12502673354,Brother LC30333PKS Super High-yield 3-Pack Color INKvestment Tank Printer Ink Cartridges,BRAND NEW,B2BMarketplace,0.128205128,0.128205128,0.961538462,0.131578947,5,$150 ,45%,45%,0.147058824,5,$150 
Electronics -> Video Games -> Games -> Nintendo,13388410194,Capcom Monster Hunter Rise (Nintendo Switch),BRAND NEW,B2BMarketplace,0.313043478,0.313043478,5.333333333,0.324324324,36,$324 ,15%,15%,0.342857143,36,$324 
Electronics -> Video Games -> Games -> Nintendo,13388410293,Capcom Fighting Collection (Nintendo Switch),BRAND NEW,B2BMarketplace,0.058823529,0.058823529,0.157894737,0.09375,3,$45 ,38%,38%,0.115384615,3,$45 
Electronics -> Video Games -> Games -> Microsoft,13388550265,Capcom 55026 Resident Evil 7 Biohazard Gold Edition (Xbox One),BRAND NEW,B2BMarketplace,0.021276596,0.021276596,0.111111111,0.026315789,1,$8 ,16%,16%,0.028571429,1,$8 
Electronics -> Video Games -> Games -> Microsoft,13388550364,Capcom Resident Evil 2 (Xbox One),BRAND NEW,B2BMarketplace,0.083333333,0.083333333,0.142857143,0.2,1,$5 ,8%,8%,0.333333333,1,$5 
